"SID","artistic","assertive","calm","careless","cold","considerate","cooperate","curious","depressed","disorganized","distracted","efficient","emotionallystable","energy","enthusiasm","findfault","forgiving","helpful","imagination","ingenious","inventive","lazy","moody","nervous","original","outgoing","perseveres","plans","quarrels","quiet","reflect","relaxed","reliable","reserved","routine","rude","shy","sophisticated","talkative","tense","thorough","trusting","unartistic","worries"
10340,7,14,15,3,2,10,12,6,3,1,4,14,12,12,14,2,11,14,9,2,8,2,2,2,8,13,15,15,2,5,14,12,13,4,11,5,4,11,14,5,13,10,7,10
10341,6,4,12,6,4,10,11,13,1,4,11,13,15,6,12,3,12,12,13,12,13,5,4,4,13,5,13,11,10,12,12,14,13,11,12,2,11,4,5,3,13,3,11,10
10349,9,12,13,3,3,12,13,11,6,6,10,12,10,12,13,7,14,12,10,11,10,5,8,11,13,11,13,12,3,5,9,7,12,4,10,5,6,6,13,6,14,15,10,10
10353,15,14,13,7,7,NA,13,NA,3,9,7,13,12,13,14,8,11,11,NA,14,13,NA,3,2,13,NA,11,14,2,NA,14,NA,NA,9,7,NA,3,15,13,3,12,10,1,NA
10357,14,11,10,3,8,12,14,13,2,3,3,14,9,8,11,9,10,12,13,12,11,2,9,9,14,10,14,14,8,12,14,11,14,10,4,4,13,14,10,10,14,9,NA,12
10360,14,7,14,4,4,13,7,12,2,2,10,11,14,10,5,1,14,14,14,11,10,4,2,3,11,6,12,11,1,14,8,14,15,13,6,3,12,13,4,10,14,7,1,5
10363,15,10,4,11,11,8,8,11,10,10,6,10,5,4,7,11,10,6,11,11,9,6,11,12,11,6,8,12,9,6,14,3,10,6,9,10,10,15,5,10,12,8,2,12
10365,11,12,15,8,9,15,11,15,12,8,8,15,7,8,14,9,7,14,12,15,15,10,9,9,15,13,15,14,1,15,12,13,15,15,12,6,13,13,11,11,15,8,6,15
10366,13,14,10,9,2,15,15,15,2,1,7,15,12,12,11,1,15,15,15,13,12,9,9,7,13,13,14,15,1,1,15,12,15,1,15,1,6,10,14,9,15,15,6,10
10367,15,2,10,2,5,14,15,12,8,7,13,7,11,5,5,1,12,12,12,7,10,11,12,15,10,3,11,8,1,15,12,10,11,15,8,1,15,12,4,9,10,13,1,15
10372,15,1,13,10,13,13,1,15,14,9,12,11,11,5,4,13,6,14,15,15,14,11,14,12,15,3,15,11,11,14,15,10,12,12,12,12,13,15,11,6,14,9,1,14
10378,13,15,8,15,7,7,11,14,15,10,8,14,9,14,9,15,6,11,15,8,14,1,13,14,15,12,13,14,8,1,14,1,15,15,9,9,13,11,15,12,15,4,5,15
10379,9,8,7,9,7,7,10,15,4,8,8,12,10,14,15,11,13,10,12,6,6,7,8,7,10,15,9,13,3,3,9,10,13,2,6,10,4,11,15,2,11,10,6,6
10380,13,8,10,9,12,11,7,10,2,6,10,8,10,8,10,11,10,9,15,9,10,11,13,8,10,13,5,6,1,10,9,6,7,7,11,4,13,9,11,8,10,12,5,10
10383,13,10,8,15,12,12,10,11,9,10,10,10,13,10,8,11,9,10,10,11,9,15,10,6,8,11,10,9,3,15,11,13,12,12,5,11,9,8,3,10,12,11,10,14
10386,10,5,13,3,3,11,13,12,5,4,4,11,11,10,11,5,10,11,11,9,9,4,3,3,11,11,11,11,1,4,11,12,11,4,4,3,5,10,12,9,NA,4,4,6
10388,9,5,4,11,5,13,9,5,10,7,11,11,3,7,7,9,11,9,8,5,2,12,14,13,6,7,5,10,7,12,5,1,14,13,8,11,12,7,3,11,11,7,3,14
10390,10,12,12,10,6,7,12,14,3,5,10,10,15,10,12,14,10,9,13,10,10,1,2,3,13,12,14,14,3,3,11,13,15,2,8,8,5,8,13,8,11,9,5,2
10391,15,11,5,3,10,13,11,13,14,3,4,14,3,8,11,9,8,9,8,14,8,4,14,14,13,13,12,13,10,8,15,3,12,4,10,5,9,13,13,13,12,3,3,14
10392,15,12,14,6,6,10,12,15,1,3,2,15,14,15,15,5,12,12,15,14,14,10,12,1,14,12,8,9,2,8,14,15,15,3,2,10,2,15,10,4,13,14,1,2
10394,9,9,9,8,8,15,9,9,9,10,13,9,10,10,9,9,11,13,10,10,8,14,9,9,8,8,11,9,11,9,9,7,8,10,9,9,11,12,8,9,9,9,9,10
10395,13,8,12,10,13,12,12,13,2,8,13,9,13,9,8,5,7,10,12,13,13,3,4,5,13,10,12,8,3,9,13,11,NA,13,8,6,11,11,7,4,9,8,2,10
10397,8,15,13,13,9,12,14,14,2,2,3,13,10,12,12,11,13,12,13,8,6,2,14,15,8,12,15,15,2,7,13,4,14,6,14,10,7,8,14,15,15,13,10,14
10404,15,6,13,2,14,NA,9,NA,6,4,4,15,12,2,5,12,8,5,NA,14,4,NA,10,6,3,NA,15,13,3,NA,15,NA,NA,13,3,NA,15,15,3,14,15,12,3,NA
10411,12,11,11,6,4,NA,12,NA,5,6,4,12,9,11,12,4,10,12,NA,10,11,NA,5,6,13,NA,10,11,5,NA,11,NA,NA,5,9,NA,7,12,13,9,13,8,5,NA
10413,14,12,13,3,4,15,9,13,12,8,4,13,12,4,5,2,15,15,9,14,11,2,3,1,11,10,14,13,1,10,12,12,14,9,11,1,5,14,8,5,14,11,3,2
10414,12,4,10,10,10,11,13,13,9,10,11,11,8,6,12,4,10,8,11,10,7,15,10,8,9,12,7,6,1,14,9,12,13,12,7,3,12,9,8,5,9,13,6,3
10418,8,11,12,3,2,14,13,12,2,2,6,9,10,12,12,9,12,13,10,12,12,3,2,10,13,13,13,12,1,4,11,7,14,3,8,2,2,9,12,2,14,13,9,12
10421,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8
10426,13,9,3,3,12,13,15,11,8,4,9,12,12,5,9,4,10,13,13,11,10,14,9,13,11,4,13,12,1,15,14,6,10,13,14,10,15,12,1,13,14,11,6,12
10432,13,13,10,5,14,12,10,14,5,3,5,15,8,11,10,13,4,10,13,13,13,3,8,11,14,11,11,13,11,10,13,9,13,10,13,12,15,13,12,13,14,6,4,14
10433,NA,NA,15,8,NA,NA,15,NA,1,8,8,12,15,12,15,1,15,12,NA,1,NA,NA,NA,1,12,NA,NA,12,1,NA,15,NA,NA,12,8,NA,NA,8,10,1,12,15,1,NA
10436,5,9,12,8,8,10,10,12,4,8,9,6,12,10,10,9,10,10,11,9,9,9,7,7,10,11,9,9,3,5,9,12,10,7,7,6,9,7,12,6,10,9,10,7
10437,12,10,9,7,10,11,13,13,9,7,12,8,8,11,10,12,8,11,13,11,12,9,9,9,9,10,6,13,5,8,13,9,10,8,10,9,9,11,12,10,14,7,4,12
10441,15,11,2,3,11,12,12,11,12,3,14,3,5,4,5,4,3,10,13,11,8,13,15,2,10,4,5,5,4,8,13,3,10,11,5,8,12,10,6,15,4,4,2,15
10445,14,5,15,1,1,15,15,15,4,1,8,13,12,12,9,10,11,14,15,15,12,3,3,14,13,11,15,13,1,10,15,14,14,11,10,2,11,13,13,3,15,12,1,13
10449,12,12,13,2,7,9,10,12,2,1,4,13,14,11,10,6,9,10,10,10,9,4,2,3,12,10,13,12,4,4,11,12,13,4,8,9,6,13,11,4,13,6,2,3
10450,12,6,13,7,9,11,15,12,3,15,15,10,15,3,2,2,15,10,15,13,2,15,3,15,2,3,11,12,1,15,15,11,11,15,15,6,10,5,9,2,12,15,15,13
10452,10,14,13,3,9,7,12,14,2,1,6,15,14,6,7,12,9,9,5,6,6,5,14,12,5,9,12,14,6,3,10,14,14,7,11,9,14,3,11,10,14,12,9,15
10453,14,6,15,7,13,10,15,4,5,8,13,14,11,10,14,13,7,11,5,10,5,11,11,10,4,5,3,8,3,11,12,5,11,15,12,11,13,10,10,12,11,13,5,11
10459,12,8,12,5,5,14,12,10,5,7,10,7,6,8,11,8,8,14,9,9,8,6,9,7,9,12,15,12,2,8,12,10,14,8,8,4,8,10,11,14,13,11,3,13
10463,8,1,11,1,5,14,12,15,3,1,8,14,9,1,8,1,15,15,15,14,11,1,12,15,12,9,15,13,1,12,15,3,15,14,1,2,12,8,11,13,15,15,1,15
10466,14,12,7,10,10,12,8,13,9,6,11,12,3,10,11,13,5,14,13,9,10,15,12,12,12,11,9,9,7,7,13,7,11,6,5,10,12,11,10,11,9,8,1,10
10471,5,10,5,12,10,9,11,10,6,11,12,10,8,10,10,11,8,10,10,10,10,13,7,10,8,11,11,8,7,6,9,5,10,7,6,10,9,6,13,9,10,12,7,12
10472,15,15,15,4,12,7,7,15,9,1,1,15,15,8,13,11,11,9,15,10,9,11,1,1,12,7,15,15,12,11,11,15,15,12,13,11,9,10,5,15,15,4,3,1
10479,9,13,12,15,7,11,11,12,5,13,13,11,14,11,11,11,12,10,8,8,9,15,5,8,9,12,15,15,5,5,8,12,11,3,9,8,6,6,13,9,12,13,6,6
10483,12,10,12,10,5,13,10,12,4,10,5,12,12,6,10,4,12,12,13,11,10,9,4,13,13,10,11,12,3,11,13,12,12,10,10,5,11,12,5,4,12,12,4,7
10485,12,12,13,10,4,10,9,NA,5,14,13,7,14,14,12,10,2,10,13,10,10,9,12,5,13,12,11,12,10,5,12,11,12,3,9,6,6,13,12,6,11,14,3,12
10486,11,13,13,9,12,10,11,10,12,6,2,11,12,4,8,11,11,11,13,10,12,9,11,2,12,12,14,12,4,7,10,11,10,13,10,4,12,13,10,5,14,7,4,7
10490,8,12,12,8,6,12,8,9,3,5,5,12,11,9,11,4,8,11,10,13,12,5,3,6,10,6,11,12,3,10,8,12,11,10,12,3,8,5,8,8,11,11,10,10
10492,14,12,10,9,2,12,13,13,1,4,5,10,11,14,14,4,10,12,9,11,10,3,10,8,11,14,13,13,2,2,10,10,13,3,5,2,2,10,13,10,11,13,2,10
10493,9,11,14,2,2,14,14,9,7,9,9,14,9,9,12,11,9,13,5,3,6,11,9,7,10,14,14,13,3,2,14,5,15,7,13,10,2,9,13,9,14,14,3,13
10494,15,13,13,11,2,14,15,15,1,3,10,13,13,13,13,1,14,15,15,11,12,1,10,7,13,15,15,15,1,4,15,15,15,4,6,1,2,15,11,2,15,12,1,15
10496,15,3,9,8,8,11,15,11,8,11,10,7,10,13,13,4,15,10,15,14,4,6,15,11,6,13,13,10,1,5,12,9,6,12,12,3,15,5,10,12,9,8,3,13
10497,12,7,4,3,3,12,9,11,11,3,14,6,6,7,11,9,14,11,10,9,12,11,12,12,10,11,10,13,2,7,10,5,6,9,14,6,11,10,12,9,10,14,2,12
10498,14,14,14,4,10,11,15,13,5,4,10,13,14,8,11,10,10,12,12,13,14,NA,9,5,14,11,13,14,8,5,14,12,13,9,5,9,8,14,13,9,12,14,2,9
10503,8,13,11,10,5,10,10,12,8,12,15,11,14,10,9,9,9,4,12,10,11,15,8,10,10,5,6,1,7,6,8,4,7,10,9,6,11,7,9,7,8,8,12,10
10509,10,13,11,11,2,11,11,13,4,4,10,9,5,13,13,7,14,11,12,11,9,9,11,13,11,12,9,9,6,9,11,11,9,3,6,9,6,9,13,6,10,14,6,12
10511,9,12,11,11,5,9,10,9,3,6,6,10,11,12,11,9,12,10,12,9,11,10,12,10,12,10,11,11,5,4,10,8,12,4,12,8,13,5,15,7,13,11,8,11
10513,8,8,14,7,6,15,11,9,4,5,8,14,13,8,10,2,14,15,10,10,12,3,9,8,12,9,12,9,3,12,9,11,14,15,11,6,9,3,5,9,14,13,9,12
10517,12,4,12,3,7,12,14,10,12,3,7,12,10,5,4,11,13,13,6,11,9,10,5,15,9,9,13,13,1,13,10,12,13,14,11,2,14,11,2,12,13,13,12,11
10518,6,9,14,10,9,15,10,13,11,10,11,13,12,10,6,12,11,13,14,10,13,11,6,9,12,11,11,12,6,6,13,13,13,10,11,1,8,5,11,6,13,12,10,4
10529,13,8,13,12,11,NA,11,NA,8,11,14,11,11,7,8,11,9,6,NA,5,6,NA,11,9,9,NA,6,4,2,NA,11,NA,NA,10,14,NA,9,9,10,11,5,11,11,NA
10533,14,14,12,2,1,11,12,12,1,3,6,15,14,12,13,7,9,9,14,9,14,4,13,7,14,14,14,13,2,7,10,11,14,9,9,NA,11,8,13,2,14,14,12,10
10535,12,4,13,2,10,11,12,12,10,9,11,9,13,3,5,3,13,11,7,11,6,10,12,7,7,6,13,12,1,12,11,7,13,11,5,5,12,9,6,11,13,14,10,12
10536,10,6,10,7,9,NA,10,NA,6,9,13,6,11,5,7,11,11,10,NA,6,7,NA,11,10,6,NA,9,10,4,NA,13,NA,NA,7,5,NA,12,4,6,10,10,11,9,NA
10539,11,14,13,4,11,8,5,13,7,4,6,13,11,8,7,10,5,6,13,12,12,7,9,8,10,8,12,12,12,7,11,8,13,7,8,11,7,11,8,12,12,2,8,10
10541,14,11,12,11,12,9,12,14,2,3,9,14,7,14,12,11,13,7,13,13,11,4,9,9,12,12,10,11,2,4,14,14,13,6,6,9,3,13,13,6,12,11,2,2
10542,14,10,11,2,3,11,15,12,2,4,4,11,12,13,13,2,13,11,10,14,12,3,2,4,12,11,13,12,1,8,14,12,13,8,10,4,9,9,11,2,15,11,3,3
10545,13,11,12,10,9,11,7,11,9,9,9,12,11,11,10,12,6,7,12,13,11,10,10,11,11,10,8,12,12,10,15,10,10,10,12,9,10,12,6,12,13,11,6,9
10547,13,15,13,5,3,12,13,11,1,4,6,12,14,14,15,6,10,13,15,15,15,6,1,3,15,15,11,12,1,2,10,13,14,1,11,3,1,14,15,2,13,13,2,2
